Value,Type
Seven Mile Ck @ u/s Tillers Mine Ck,Site
Orangipuku Rv @ Mouth,Site
Sawyers Ck @ Bush Fringe,Site
Hohonu Rv @ Mitchells-Kumara Rd Br,Site
Hohonu Rv @ Mouth,Site
Deep Ck @ Arnold Vly Rd Br,Site
Seven Mile Ck @ Dunollie 400m u/s Ox Pd,Site
Page Stm @ Chasm Ck Walkway,Site
Seven Mile Ck @ 300m d/s Raleigh Ck,Site
Bradshaws Ck @ Bradshaw Rd,Site
Mawheraiti Rv @ SH7 Maimai,Site
Ellis Ck @ 50m d/s Ferry Rd Br,Site
Okutua Ck @ New Rd Br-Okarito Forest,Site
Poerua Rv @ Station Rd end,Site
Ford Ck @ Blackball-Taylorville Rd,Site
Murray Ck @ Ford Rd S,Site
Baker Ck @ Baker Ck Rd,Site
Baker Ck @ Oparara Rd,Site
Crooked Rv @ Rotomanu-Bell Hill Rd,Site
Duck Ck @ Kokatahi-Kowhitirangi Rd Br,Site
Harris Ck @ Mulvaney Rd,Site
Nelson Ck @ Swimming Hole Reserve,Site
Unnamed Ck @ Adamson Rd Whataroa,Site
Vickers Ck @ Whataroa N Base,Site
Orowaiti Rv @ Excelsior Rd,Site
Orowaiti Rv @ Keoghans Rd,Site
Sawyers Ck @ Dixon Pk,Site
Berry Ck @ N Brch Wanganui Flat Rd,Site
Burkes Ck @ SH69,Site
Molloy Ck @ Rail Line,Site
La Fontaine Stm @ Airstrip Fishing Access,Site
La Fontaine Stm @ Herepo Fishing Access,Site
Crooked Rv @ Te Kinga,Site
Taxonomic Richness,Measurement
% EPT Taxa,Measurement
MCI[MCI],Measurement
